City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,banposh,22.25,84.8,37.18,15,92,1.07,IN,1712917135
314,bathsheba,13.2167,-59.5167,27.34,78,40,8.23,BB,1712917135
315,lobujya,27.95,86.8167,-5.44,90,87,2.87,NP,1712917136
316,were ilu,10.6,39.4333,24.06,25,83,1.1,ET,1712917136
317,soure,-0.7167,-48.5233,25.64,89,95,1.28,BR,1712916998
318,muntok,-2.0667,105.1833,29.47,71,72,4.21,ID,1712917136
319,bhimunipatnam,17.8833,83.4333,32.73,51,78,6.01,IN,1712916974
320,mount isa,-20.7333,139.5,18.87,48,0,2.57,AU,1712917137
321,nellikkuppam,11.7667,79.6833,31.48,57,72,5.73,IN,1712917137
322,toliara,-23.35,43.6667,26.51,48,66,7.25,MG,1712917137
323,velikiye luki,56.34,30.5452,14.43,65,99,7.0,RU,1712917137
324,chibougamau,49.9168,-74.3659,3.79,100,100,5.14,CA,1712917039
325,baie-comeau,49.2168,-68.1489,2.82,100,100,6.69,CA,1712917138
326,magadan,59.5667,150.8,-4.71,94,30,0.82,RU,1712917138
327,mukalla,14.5425,49.1242,29.69,58,51,4.19,YE,1712917138
328,kobilje,46.6847,16.3978,22.67,36,0,2.91,SI,1712917139
329,rawah,34.4816,41.9093,26.55,25,67,4.25,IQ,1712917139
330,kuanda,56.3161,116.0806,2.5,84,93,0.62,RU,1712917139
331,portland,45.5234,-122.6762,9.5,93,100,1.54,US,1712916858
332,lubang,13.8584,120.124,29.2,71,6,3.74,PH,1712917139
333,embarcacion,-23.209,-64.096,16.79,96,100,0.61,AR,1712916913
334,talara,-4.5772,-81.2719,23.83,73,32,5.13,PE,1712917140
335,the bottom,17.6259,-63.2492,23.31,80,64,11.18,BQ,1712917140
336,barranca,-10.75,-77.7667,20.76,86,95,2.83,PE,1712917140
337,plesetsk,62.708,40.2916,2.19,98,100,2.66,RU,1712917141
338,georgetown,5.4112,100.3354,31.96,70,20,5.14,MY,1712917069
339,forster,-32.1667,152.5167,15.77,100,9,2.24,AU,1712917141
340,aswan,24.0934,32.907,30.61,21,0,2.57,EG,1712917141
341,addiet canna,11.2667,37.4833,29.88,15,80,3.71,ET,1712917142
342,kapa'a,22.0752,-159.319,23.99,94,100,7.72,US,1712917108
343,san juan de miraflores,-12.1629,-76.9635,23.43,79,89,2.94,PE,1712917142
344,aleksandrovskoye,44.7142,43.0008,22.35,37,36,5.95,RU,1712917142
345,ibipeba,-11.6408,-42.0111,21.53,90,100,3.16,BR,1712917143
346,novodvinsk,64.4165,40.8122,2.66,90,100,4.71,RU,1712917143
347,ruidoso,33.3317,-105.673,11.83,20,0,0.0,US,1712917120
348,nantucket,41.2835,-70.0995,12.27,99,100,10.8,US,1712917052
349,kristiansund,63.1115,7.732,12.36,50,75,3.09,NO,1712917143
350,dudinka,69.4058,86.1778,-16.32,87,100,8.21,RU,1712917144
351,chokwe,-24.5333,32.9833,25.3,49,41,3.66,MZ,1712917144
352,yigo village,13.5361,144.8886,27.62,82,75,6.17,GU,1712916971
353,loango,-4.6719,11.8312,28.21,74,100,3.14,CG,1712917144
354,dossor,47.5272,52.9811,19.73,30,36,5.2,KZ,1712917145
355,alesund,62.4723,6.1549,10.51,87,75,6.69,NO,1712917145
356,dryden,49.7833,-92.7503,0.93,97,100,3.68,CA,1712917049
357,ustka,54.5805,16.8619,14.8,90,100,6.32,PL,1712917146
358,kariya,34.9833,136.9833,18.41,64,81,3.71,JP,1712917146
359,bandar lampung,-5.4254,105.258,26.48,79,98,1.65,ID,1712917146
360,yuzhno-kurilsk,44.0306,145.8556,4.65,76,100,3.31,RU,1712917147
361,anshun,26.25,105.9333,26.05,47,42,9.7,CN,1712916878
